,SRPT
% Below High,0.0537
% Held by Institutions,0.8695
52-Wk Range,['61.28 - 123.74']
Annual Dividend $,
Annual Dividend %,
Ask,117.15
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.1
Bid,117.04
Bid Size,100.0
Day Change $,2.53
Day Change %,0.022099999999999998
Day High,123.74
Day Low,116.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-8.21
Ex-dividend Date,No dividend
Historical Volatility,0.45299999999999996
Last (size),200.0
Last (time),3:16p ET 11/28/22
Market Cap,10.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,114.57
Price,117.1
Shares Outstanding,87.8M
Short Interest,0.08779999999999999
Today's Open,120.16
Volume Past Day,(Heavy Day)
