,FREE
Price/Earnings (TTM),12.59746
Price/Sales (TTM),0.31223
Price/Book (MRQ),0.49832
Price/Cash Flow (TTM),4.45693
5yr Low,3.0
5yr High,14.95
5yr Avg Return,-0.13634999999999997
Short Int Current Month,1307891.0
Short Int Prev Month,1438419.0
Short Int Pct of Float,0.037994400000000005
Days to Cover,3.50489
Float,34.42223
Shares Outstanding,41.98294
Institutions Holding Shares,137.0
% Held by Institutions,0.684918
FCF Growth 5yr,-4.0962229690567336
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
