,FREE
% Above Low,0.3033
% Held by Institutions,0.6849
52-Wk Range,['3.00 - 11.72']
Annual Dividend $,
Annual Dividend %,
Ask,4.0
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.4
Bid,3.38
Bid Size,100.0
Closing Price,3.91
Day Change $,0.06
Day Change %,0.015600000000000001
Day High,3.95
Day Low,3.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.31
Ex-dividend Date,No dividend
Historical Volatility,0.522
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,164.2M
"P/E Ratio (TTM, GAAP)",12.6
Prev Close,3.85
Shares Outstanding,42.0M
Short Interest,0.038
Today's Open,3.85
Volume,122006.0
Volume 10-day Avg,480112.0
Volume Past Day,(Light)
