,TW
Price/Earnings (TTM),44.96945
Price/Sales (TTM),11.62177
Price/Book (MRQ),2.80098
Price/Cash Flow (TTM),27.34954
5yr Low,33.23
5yr High,102.33
5yr Avg Return,0.216425
EPS Growth 5yr,0.2115741
Revenue Growth 5yr,0.1694287
Dividend Growth 5yr,
Short Int Current Month,3099494.0
Short Int Prev Month,3556327.0
Short Int Pct of Float,0.027936000000000002
Days to Cover,3.37005
Float,110.9337
Shares Outstanding,234.3585
Institutions Holding Shares,484.0
% Held by Institutions,0.9567749999999999
FCF Growth 5yr,2.029423477873826
