,PFS
Price/Earnings (TTM),10.38808
Price/Sales (TTM),3.49543
Price/Book (MRQ),1.09716
Price/Cash Flow (TTM),9.63471
5yr Low,9.05
5yr High,29.12
5yr Avg Return,-0.020400000000000005
EPS Growth 5yr,0.09787620000000001
Revenue Growth 5yr,0.058830600000000004
Dividend Growth 5yr,0.0554676
Short Int Current Month,2887149.0
Short Int Prev Month,2884868.0
Short Int Pct of Float,0.0410481
Days to Cover,9.22041
Float,70.52236
Shares Outstanding,75.27504
Institutions Holding Shares,276.0
% Held by Institutions,0.67474
FCF Growth 5yr,0.37996031746031744
