,PFS
% Above Low,0.1721
% Held by Institutions,0.6747
52-Wk Range,['19.18 - 26.20']
Annual Dividend $,0.96
Annual Dividend %,0.0424
Ask,22.49
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,22.46
Bid Size,200.0
Day Change $,-0.16
Day Change %,-0.0070999999999999995
Day High,22.57
Day Low,22.35
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.18
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.264
Last (size),100.0
Last (time),10:39a ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",10.39
Prev Close,22.64
Price,22.48
Shares Outstanding,75.3M
Short Interest,0.040999999999999995
Today's Open,22.52
Volume Past Day,(Light)
