,OTIS
% Below High,0.12
% Held by Institutions,0.8593000000000001
52-Wk Range,['62.49 - 88.22']
Annual Dividend $,1.16
Annual Dividend %,0.0147
Ask,77.69
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,77.62
Bid Size,200.0
Day Change $,-1.04
Day Change %,-0.0132
Day High,78.36
Day Low,77.46
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",2.91
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.268
Last (size),4.0
Last (time),9:48a ET 11/28/22
Market Cap,32.3B
"P/E Ratio (TTM, GAAP)",27.06
Prev Close,78.67
Price,77.64
Shares Outstanding,416.6M
Short Interest,0.0129
Today's Open,78.02
Volume Past Day,(Light)
