,OTIS
Price/Earnings (TTM),27.0604
Price/Sales (TTM),2.37226
Price/Book (MRQ),
Price/Cash Flow (TTM),21.0487
5yr Low,38.0
5yr High,92.84
5yr Avg Return,0.29006666666666664
Short Int Current Month,5355783.0
Short Int Prev Month,5811330.0
Short Int Pct of Float,0.0128629
Days to Cover,2.3372
Float,416.3592
Shares Outstanding,416.5861
Institutions Holding Shares,1399.0
% Held by Institutions,0.8592879999999999
FCF Growth 5yr,0.0846262774257192
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
