,LASR
Price/Earnings (TTM),
Price/Sales (TTM),1.89054
Price/Book (MRQ),1.67209
Price/Cash Flow (TTM),
5yr Low,8.22
5yr High,46.45
5yr Avg Return,-0.05923999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.21667999999999998
Dividend Growth 5yr,
Short Int Current Month,1326132.0
Short Int Prev Month,1246555.0
Short Int Pct of Float,0.0302806
Days to Cover,4.14054
Float,43.79381
Shares Outstanding,45.3071
Institutions Holding Shares,191.0
% Held by Institutions,0.864819
FCF Growth 5yr,0.24291146744062533
