,COCO
% Above Low,0.5995
% Held by Institutions,0.5388000000000001
52-Wk Range,['7.39 - 16.57']
Annual Dividend $,
Annual Dividend %,
Ask,12.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,
Bid,10.24
Bid Size,1000.0
Closing Price,11.82
Day Change $,0.29
Day Change %,0.0252
Day High,11.99
Day Low,11.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.13
Ex-dividend Date,No dividend
Historical Volatility,0.75
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,661.6M
"P/E Ratio (TTM, GAAP)",93.44
Prev Close,11.53
Shares Outstanding,55.9M
Short Interest,0.048499999999999995
Today's Open,11.47
Volume,111746.0
Volume 10-day Avg,222492.0
Volume Past Day,(Light)
