,COCO
Price/Earnings (TTM),93.43874
Price/Sales (TTM),1.565
Price/Book (MRQ),4.66772
Price/Cash Flow (TTM),72.15644
5yr Low,7.39
5yr High,18.61
5yr Avg Return,-0.11084999999999999
Short Int Current Month,2187436.0
Short Int Prev Month,2552474.0
Short Int Pct of Float,0.0484955
Days to Cover,4.61378
Float,45.11952
Shares Outstanding,55.92429
Institutions Holding Shares,99.0
% Held by Institutions,0.538793
FCF Growth 5yr,0.14078933953902498
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
