,EFSC
% Below High,0.03
% Held by Institutions,0.6953
52-Wk Range,['39.64 - 54.31']
Annual Dividend $,0.96
Annual Dividend %,0.0182
Ask,52.72
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,45.0
Bid Size,100.0
Closing Price,52.68
Day Change $,0.03
Day Change %,0.0006
Day High,53.07
Day Low,52.67
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",5.06
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.252
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.42
Prev Close,52.65
Shares Outstanding,37.2M
Short Interest,0.0113
Today's Open,52.67
Volume,34099.0
Volume 10-day Avg,126701.0
Volume Past Day,(Light)
