,EFSC
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.36141304347826075
Growth 1yr High Est,0.35526315789473695
Growth 1yr Consensus Est,0.35833810068649885
Growth 2yr Low Est,0.20665462553154557
Growth 2yr High Est,0.26015585079202863
Growth 2yr Consensus Est,0.2334052381617871
Growth 5yr Low Est,0.08218303415880765
Growth 5yr High Est,0.1146458266305822
Growth 5yr Consensus Est,0.09841443039469493
Growth 5yr Actual/Est,0.12101186088923335
Growth 3yr Historic,0.0187553282182438
