,KALU
% Below High,0.162
% Held by Institutions,1.0791
52-Wk Range,['59.24 - 107.41']
Annual Dividend $,3.08
Annual Dividend %,0.0342
Ask,95.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.2
Bid,80.0
Bid Size,200.0
Closing Price,90.01
Day Change $,0.78
Day Change %,0.0087
Day High,90.32
Day Low,89.52
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.48700000000000004
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,89.23
Shares Outstanding,15.9M
Short Interest,0.042199999999999994
Today's Open,89.7
Volume,20332.0
Volume 10-day Avg,98561.0
Volume Past Day,(Light)
