,KALU
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8462709284627092
Growth 1yr High Est,-0.7456140350877193
Growth 1yr Consensus Est,-0.7959424817752143
Growth 2yr Low Est,1.6808249318082495
Growth 2yr High Est,1.0783424077434967
Growth 2yr Consensus Est,1.3795836697758732
Growth 5yr Low Est,0.8404124659041248
Growth 5yr High Est,0.5391712038717483
Growth 5yr Consensus Est,0.6897918348879364
Growth 5yr Actual/Est,0.5018526062495586
Growth 3yr Historic,-0.19081043722870236
