,MU
Price/Earnings (TTM),7.55266
Price/Sales (TTM),2.06455
Price/Book (MRQ),1.28039
Price/Cash Flow (TTM),4.01934
5yr Low,28.39
5yr High,98.45
5yr Avg Return,0.09581666666666669
EPS Growth 5yr,0.11915440000000001
Revenue Growth 5yr,0.0864214
Dividend Growth 5yr,
Short Int Current Month,32724559.0
Short Int Prev Month,31692265.0
Short Int Pct of Float,0.0302039
Days to Cover,2.01537
Float,1084.08
Shares Outstanding,1087.169
Institutions Holding Shares,1789.0
% Held by Institutions,0.8014830000000001
FCF Growth 5yr,0.7707664937580995
