,USFD
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.5433070866141732
Growth 1yr High Est,0.3253012048192774
Growth 1yr Consensus Est,0.43430414571672527
Growth 2yr Low Est,0.37114333922545395
Growth 2yr High Est,0.3081051478641841
Growth 2yr Consensus Est,0.339624243544819
Growth 5yr Low Est,0.08324608821737814
Growth 5yr High Est,0.0769692405987587
Growth 5yr Consensus Est,0.08010766440806842
Growth 5yr Actual/Est,3.9724242116201323
Growth 3yr Historic,3.8150093370681613
