,USFD
% Below High,0.105
% Held by Institutions,0.998
52-Wk Range,['25.49 - 39.73']
Annual Dividend $,
Annual Dividend %,
Ask,38.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.4
Bid,27.5
Bid Size,500.0
Closing Price,35.56
Day Change $,-0.36
Day Change %,-0.01
Day High,36.03
Day Low,35.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.86
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),157.0
Last (time),7:00p ET 11/28/22
Market Cap,8.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",41.83
Prev Close,35.92
Shares Outstanding,224.9M
Short Interest,0.0084
Today's Open,35.73
Volume,1279445.0
Volume 10-day Avg,1739979.0
Volume Past Day,(Light)
