,GIII
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.06796116504854366
Growth 1yr High Est,0.16455696202531644
Growth 1yr Consensus Est,0.11625906353693005
Growth 2yr Low Est,-0.03571638717269787
Growth 2yr High Est,0.1597241331865712
Growth 2yr Consensus Est,0.06200387300693666
Growth 5yr Low Est,-0.017858193586348936
Growth 5yr High Est,0.0798620665932856
Growth 5yr Consensus Est,0.03100193650346833
Growth 5yr Actual/Est,1.3647767298187896
Growth 3yr Historic,1.3840125391849527
