,GIII
Price/Earnings (TTM),4.76143
Price/Sales (TTM),0.33267
Price/Book (MRQ),0.64215
Price/Cash Flow (TTM),4.10905
5yr Low,2.96
5yr High,51.2
5yr Avg Return,-0.009500000000000005
EPS Growth 5yr,0.298857
Revenue Growth 5yr,0.030000399999999997
Dividend Growth 5yr,
Short Int Current Month,3133435.0
Short Int Prev Month,2889743.0
Short Int Pct of Float,0.0759365
Days to Cover,4.35777
Float,41.26391
Shares Outstanding,47.48663
Institutions Holding Shares,284.0
% Held by Institutions,0.895546
FCF Growth 5yr,-7.993317595176456
