,SM
% Below High,0.23070000000000002
% Held by Institutions,0.8965000000000001
52-Wk Range,['25.23 - 54.97']
Annual Dividend $,0.3
Annual Dividend %,0.0069
Ask,42.3
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,4.5
Bid,42.26
Bid Size,500.0
Day Change $,-1.41
Day Change %,-0.0323
Day High,42.79
Day Low,41.61
Dividend Pay Date,2022-11-07 00:00:00
"EPS (TTM, GAAP)",9.9
Ex-dividend,2022-10-24 00:00:00
Ex-dividend Date,10/24/22
Historical Volatility,0.668
Last (size),10.0
Last (time),2:37p ET 11/28/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.41
Prev Close,43.7
Price,42.29
Shares Outstanding,122.8M
Short Interest,0.0394
Today's Open,41.75
Volume Past Day,(Light)
