,SM
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-12.80327868852459
Growth 1yr High Est,-25.53125
Growth 1yr Consensus Est,-19.167264344262296
Growth 2yr Low Est,-6.4224726775956285
Growth 2yr High Est,-12.514669585987262
Growth 2yr Consensus Est,-9.468571131791446
Growth 5yr Low Est,-3.2112363387978142
Growth 5yr High Est,-6.257334792993631
Growth 5yr Consensus Est,-4.734285565895723
Growth 5yr Actual/Est,-1.5640813801199434
Growth 3yr Historic,-2.3910778985507246
