,SM
Price/Earnings (TTM),4.41432
Price/Sales (TTM),1.51489
Price/Book (MRQ),1.87128
Price/Cash Flow (TTM),2.76812
5yr Low,0.9
5yr High,54.97
5yr Avg Return,0.5579
EPS Growth 5yr,
Revenue Growth 5yr,0.173146
Dividend Growth 5yr,-0.27522030000000003
Short Int Current Month,4757808.0
Short Int Prev Month,4845150.0
Short Int Pct of Float,0.0394126
Days to Cover,2.77241
Float,120.7521
Shares Outstanding,122.7961
Institutions Holding Shares,404.0
% Held by Institutions,0.896458
FCF Growth 5yr,0.55148392049558
