,APPS
Price/Earnings (TTM),33.63285
Price/Sales (TTM),2.24472
Price/Book (MRQ),2.93895
Price/Cash Flow (TTM),13.51374
5yr Low,1.12
5yr High,102.56
5yr Avg Return,1.510466666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.7942091000000001
Dividend Growth 5yr,
Short Int Current Month,6833512.0
Short Int Prev Month,6516782.0
Short Int Pct of Float,0.07165110000000001
Days to Cover,1.22725
Float,95.14185
Shares Outstanding,99.01683
Institutions Holding Shares,337.0
% Held by Institutions,0.676531
FCF Growth 5yr,0.46838367593626407
