,APPS
% Above Low,0.627
% Held by Institutions,0.6765000000000001
52-Wk Range,['10.65 - 70.52']
Annual Dividend $,
Annual Dividend %,
Ask,17.35
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,2.3
Bid,17.25
Bid Size,100.0
Closing Price,17.33
Day Change $,0.065
Day Change %,0.0038
Day High,17.38
Day Low,16.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,1.004
Last (size),14.0
Last (time),12:59p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",33.63
Prev Close,17.27
Shares Outstanding,99.0M
Short Interest,0.0717
Today's Open,17.24
Volume,1094981.0
Volume 10-day Avg,5267772.0
Volume Past Day,(Light)
