,SPLK
Price/Earnings (TTM),
Price/Sales (TTM),4.19208
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,65.0
5yr High,225.89
5yr Avg Return,0.034216666666666645
EPS Growth 5yr,
Revenue Growth 5yr,0.23159269999999998
Dividend Growth 5yr,
Short Int Current Month,8140341.0
Short Int Prev Month,8531925.0
Short Int Pct of Float,0.05459869999999999
Days to Cover,4.28598
Float,161.9708
Shares Outstanding,162.7089
Institutions Holding Shares,868.0
% Held by Institutions,0.835106
FCF Growth 5yr,-2.016507035363483
