,SPLK
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,37.0
Growth 1yr Low Est,-0.6611111111111112
Growth 1yr High Est,-0.2598039215686274
Growth 1yr Consensus Est,-0.4604575163398693
Growth 2yr Low Est,-0.51908014571949
Growth 2yr High Est,0.41976691338787164
Growth 2yr Consensus Est,-0.049656616165809186
Growth 5yr Low Est,-0.259540072859745
Growth 5yr High Est,0.20988345669393582
Growth 5yr Consensus Est,-0.024828308082904593
Growth 5yr Actual/Est,-0.3158655705996133
Growth 3yr Historic,-0.00495647969052232
