,SPLK
% Above Low,0.1786
% Held by Institutions,0.8351000000000001
52-Wk Range,['65.00 - 150.79']
Annual Dividend $,
Annual Dividend %,
Ask,76.62
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,76.58
Bid Size,200.0
Day Change $,-1.68
Day Change %,-0.0215
Day High,78.39
Day Low,75.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.22
Ex-dividend Date,No dividend
Historical Volatility,0.611
Last (size),100.0
Last (time),3:00p ET 11/28/22
Market Cap,12.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,78.29
Price,76.61
Shares Outstanding,162.7M
Short Interest,0.0546
Today's Open,76.81
Volume Past Day,(Light)
