,EXEL
Price/Earnings (TTM),17.84454
Price/Sales (TTM),3.33531
Price/Book (MRQ),2.19308
Price/Cash Flow (TTM),16.83979
5yr Low,13.42
5yr High,32.2
5yr Avg Return,-0.05324999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.496083
Dividend Growth 5yr,
Short Int Current Month,10365068.0
Short Int Prev Month,9495959.0
Short Int Pct of Float,0.0328537
Days to Cover,4.5737
Float,315.4591
Shares Outstanding,322.5614
Institutions Holding Shares,530.0
% Held by Institutions,0.863403
FCF Growth 5yr,0.06285260095279728
