,EXEL
% Above Low,0.1392
% Held by Institutions,0.8634000000000001
52-Wk Range,['14.87 - 23.40']
Annual Dividend $,
Annual Dividend %,
Ask,17.17
Ask Size,1000.0
B/A Ratio,2.0
B/A Size,2000x1000
Beta,0.7
Bid,16.84
Bid Size,2000.0
Closing Price,16.94
Day Change $,0.08
Day Change %,0.004699999999999999
Day High,16.96
Day Low,16.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.95
Ex-dividend Date,No dividend
Historical Volatility,0.38
Last (size),57.0
Last (time),12:59p ET 11/25/22
Market Cap,5.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.84
Prev Close,16.86
Shares Outstanding,322.6M
Short Interest,0.0329
Today's Open,16.8
Volume,485040.0
Volume 10-day Avg,1594647.0
Volume Past Day,(Light)
