,FLT
Price/Earnings (TTM),15.76989
Price/Sales (TTM),4.22529
Price/Book (MRQ),6.34563
Price/Cash Flow (TTM),11.20626
5yr Low,161.69
5yr High,329.85
5yr Avg Return,0.037416666666666674
EPS Growth 5yr,0.1601726
Revenue Growth 5yr,0.09120990000000001
Dividend Growth 5yr,
Short Int Current Month,1048596.0
Short Int Prev Month,1160774.0
Short Int Pct of Float,0.014673700000000001
Days to Cover,1.38187
Float,71.53917
Shares Outstanding,73.75236
Institutions Holding Shares,762.0
% Held by Institutions,0.9198520000000001
FCF Growth 5yr,-5.398990686732621
