,ALE
% Below High,0.0245
% Held by Institutions,0.7746999999999999
52-Wk Range,['47.77 - 68.61']
Annual Dividend $,2.6
Annual Dividend %,0.0388
Ask,70.0
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,61.64
Bid Size,100.0
Closing Price,66.93
Day Change $,1.06
Day Change %,0.0161
Day High,67.36
Day Low,66.36
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.262
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.24
Prev Close,65.87
Shares Outstanding,57.2M
Short Interest,0.016399999999999998
Today's Open,66.36
Volume,144212.0
Volume 10-day Avg,413338.0
Volume Past Day,(Light)
