,SLAB
Price/Earnings (TTM),72.57109
Price/Sales (TTM),4.80821
Price/Book (MRQ),3.04519
Price/Cash Flow (TTM),41.01892
5yr Low,65.09
5yr High,211.98
5yr Avg Return,0.11635
EPS Growth 5yr,
Revenue Growth 5yr,0.006573900000000001
Dividend Growth 5yr,
Short Int Current Month,2576901.0
Short Int Prev Month,2647170.0
Short Int Pct of Float,0.0792985
Days to Cover,5.12267
Float,32.24672
Shares Outstanding,33.2829
Institutions Holding Shares,421.0
% Held by Institutions,1.051467
FCF Growth 5yr,-0.6398973119903352
