,SLAB
% Above Low,0.2608
% Held by Institutions,1.0515
52-Wk Range,['109.44 - 211.98']
Annual Dividend $,
Annual Dividend %,
Ask,138.12
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,137.81
Bid Size,200.0
Day Change $,-2.93
Day Change %,-0.0208
Day High,140.62
Day Low,137.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.94
Ex-dividend Date,No dividend
Historical Volatility,0.47500000000000003
Last (size),100.0
Last (time),2:30p ET 11/28/22
Market Cap,4.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",72.57
Prev Close,140.92
Price,137.99
Shares Outstanding,33.3M
Short Interest,0.0793
Today's Open,138.41
Volume Past Day,(Light)
