,THR
% Below High,0.022799999999999997
% Held by Institutions,0.963
52-Wk Range,['13.26 - 20.64']
Annual Dividend $,
Annual Dividend %,
Ask,22.0
Ask Size,300.0
B/A Ratio,5.0
B/A Size,1500x300
Beta,1.3
Bid,19.75
Bid Size,1500.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.17
Day Change $,-0.35
Day Change %,-0.0171
Day High,20.63
Day Low,19.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.11
Ex-dividend Date,No dividend
Historical Volatility,0.311
Last (size),2400.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,675.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.42
Prev Close,20.52
Shares Outstanding,33.5M
Short Interest,0.0076
Today's Open,20.5
Volume,184974.0
Volume 10-day Avg,161792.0
Volume Past Day,(Above Average)
