,THR
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.6666666666666667
Growth 1yr High Est,0.6666666666666667
Growth 1yr Consensus Est,0.6666666666666667
Growth 2yr Low Est,0.3925925925925926
Growth 2yr High Est,0.3925925925925926
Growth 2yr Consensus Est,0.3925925925925926
Growth 5yr Low Est,0.3925925925925926
Growth 5yr High Est,0.3925925925925926
Growth 5yr Consensus Est,0.3925925925925926
Growth 5yr Actual/Est,0.40988358663411817
Growth 3yr Historic,0.2236274509803921
