,THR
Price/Earnings (TTM),18.42391
Price/Sales (TTM),1.72166
Price/Book (MRQ),1.73612
Price/Cash Flow (TTM),12.02066
5yr Low,9.98
5yr High,27.95
5yr Avg Return,-0.013533333333333328
EPS Growth 5yr,0.059683799999999995
Revenue Growth 5yr,0.0613213
Dividend Growth 5yr,
Short Int Current Month,251344.0
Short Int Prev Month,393754.0
Short Int Pct of Float,0.007636899999999999
Days to Cover,1.60291
Float,32.91139
Shares Outstanding,33.49323
Institutions Holding Shares,176.0
% Held by Institutions,0.963031
FCF Growth 5yr,0.159876373327251
