,KURA
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.13207547169811318
Growth 1yr High Est,0.045454545454545414
Growth 1yr Consensus Est,0.0887650085763293
Growth 2yr Low Est,0.29103773584905657
Growth 2yr High Est,0.01789635485287655
Growth 2yr Consensus Est,0.15446704535096656
Growth 5yr Low Est,0.21927243515635642
Growth 5yr High Est,0.08411077905245451
Growth 5yr Consensus Est,0.15169160710440546
Growth 5yr Actual/Est,0.12901000017844827
Growth 3yr Historic,0.0712214428465065
