,KURA
% Above Low,0.4275
% Held by Institutions,1.0643
52-Wk Range,['10.41 - 19.93']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,14.86
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.03
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),30.0
Last (time),1:00p ET 11/25/22
Market Cap,994.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.86
Shares Outstanding,66.9M
Short Interest,0.10800000000000001
Today's Open,
Volume,156375.0
Volume 10-day Avg,909053.0
Volume Past Day,(Light)
