,MHK
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.11904761904761907
Growth 1yr High Est,-0.11784511784511786
Growth 1yr Consensus Est,-0.11844636844636847
Growth 2yr Low Est,-0.24485199485199483
Growth 2yr High Est,-0.08754851312103223
Growth 2yr Consensus Est,-0.16620025398651353
Growth 5yr Low Est,-0.0008385353430854225
Growth 5yr High Est,0.07747574343948385
Growth 5yr Consensus Est,0.038318604048199215
Growth 5yr Actual/Est,0.05912560961980223
Growth 3yr Historic,0.14059531974029138
