,MHK
% Above Low,0.1827
% Held by Institutions,0.7748999999999999
52-Wk Range,['87.02 - 192.00']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,90.0
Bid Size,
Closing Price,102.91
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.57
Ex-dividend Date,No dividend
Historical Volatility,0.46
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,6.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",40.09
Prev Close,102.91
Shares Outstanding,63.5M
Short Interest,0.0319
Today's Open,
Volume,110582.0
Volume 10-day Avg,512556.0
Volume Past Day,(Light)
