,MHK
Price/Earnings (TTM),40.08616
Price/Sales (TTM),0.55189
Price/Book (MRQ),0.83623
Price/Cash Flow (TTM),8.58954
5yr Low,56.62
5yr High,286.85
5yr Avg Return,-0.08633333333333333
EPS Growth 5yr,0.0367472
Revenue Growth 5yr,0.045672300000000006
Dividend Growth 5yr,
Short Int Current Month,1674224.0
Short Int Prev Month,2224864.0
Short Int Pct of Float,0.0319285
Days to Cover,2.62023
Float,52.50156
Shares Outstanding,63.53403
Institutions Holding Shares,636.0
% Held by Institutions,0.77485
FCF Growth 5yr,-0.6791340179965771
