,BLDE
% Above Low,0.39799999999999996
% Held by Institutions,0.7243999999999999
52-Wk Range,['3.46 - 9.90']
Annual Dividend $,
Annual Dividend %,
Ask,5.1
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,4.77
Bid Size,1000.0
Closing Price,4.83
Day Change $,0.13
Day Change %,0.0277
Day High,4.88
Day Low,4.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.6779999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,346.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.7
Shares Outstanding,71.7M
Short Interest,0.0692
Today's Open,4.67
Volume,127094.0
Volume 10-day Avg,496549.0
Volume Past Day,(Light)
