,NTRS
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.012875536480686622
Growth 1yr High Est,0.036262203626220346
Growth 1yr Consensus Est,0.011693333572766862
Growth 2yr Low Est,-0.07672762331280714
Growth 2yr High Est,0.08677174784271979
Growth 2yr Consensus Est,0.0050220622649563285
Growth 5yr Low Est,-0.016497060521359713
Growth 5yr High Est,0.0625185269825844
Growth 5yr Consensus Est,0.02301073323061234
Growth 5yr Actual/Est,0.02936113716956898
Growth 3yr Historic,0.022742564844950658
