,NTRS
% Above Low,0.2391
% Held by Institutions,0.8288
52-Wk Range,['76.15 - 135.15']
Annual Dividend $,3.0
Annual Dividend %,0.0318
Ask,98.11
Ask Size,100.0
Ask close,100.25
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,93.07
Bid Size,100.0
Bid close,88.24
Change Since Close,-2.82| |(-2.99%)
Closing Price,94.36
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",7.34
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.349
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,91.54
Market Cap,19.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.86
Prev Close,94.36
Shares Outstanding,208.4M
Short Interest,0.0143
Today's Open,
Volume,1.0
Volume 10-day Avg,780209.0
Volume Past Day,(Light)
