,NTRS
Price/Earnings (TTM),12.85651
Price/Sales (TTM),2.76143
Price/Book (MRQ),1.93841
Price/Cash Flow (TTM),9.44079
5yr Low,60.67
5yr High,135.15
5yr Avg Return,0.009783333333333335
EPS Growth 5yr,0.1054709
Revenue Growth 5yr,0.0485684
Dividend Growth 5yr,0.1390979
Short Int Current Month,2954578.0
Short Int Prev Month,3595564.0
Short Int Pct of Float,0.0142753
Days to Cover,3.39724
Float,207.2955
Shares Outstanding,208.4157
Institutions Holding Shares,950.0
% Held by Institutions,0.8288070000000001
FCF Growth 5yr,-0.7845375231245569
