,VIAC
Price/Earnings (TTM),4.6952
Price/Sales (TTM),0.4343
Price/Book (MRQ),0.57057
Price/Cash Flow (TTM),3.77091
5yr Low,10.1
5yr High,101.97
5yr Avg Return,-0.1464
EPS Growth 5yr,0.1383159
Revenue Growth 5yr,0.16772320000000002
Dividend Growth 5yr,0.0878929
Short Int Current Month,74475815.0
Short Int Prev Month,70448382.0
Short Int Pct of Float,0.1294017
Days to Cover,3.68687
Float,584.8267
Shares Outstanding,649.1744
Institutions Holding Shares,1067.0
% Held by Institutions,0.753201
FCF Growth 5yr,-0.30865015840337034
