,VIAC
% Above Low,0.27890000000000004
% Held by Institutions,0.7532
52-Wk Range,['15.29 - 39.21']
Annual Dividend $,0.96
Annual Dividend %,0.0482
Ask,19.57
Ask Size,500.0
B/A Ratio,1.8
B/A Size,900x500
Beta,1.5
Bid,19.56
Bid Size,900.0
Day Change $,-0.355
Day Change %,-0.0178
Day High,19.83
Day Low,19.46
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",4.24
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.561
Last (size),100.0
Last (time),10:03a ET 11/28/22
Market Cap,12.7B
"P/E Ratio (TTM, GAAP)",4.7
Prev Close,19.91
Price,19.56
Shares Outstanding,649.2M
Short Interest,0.1294
Today's Open,19.68
Volume Past Day,(Light)
