,VIAC
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4782608695652174
Growth 1yr High Est,-0.45518867924528306
Growth 1yr Consensus Est,-0.46672477440525023
Growth 2yr Low Est,-0.5780193236714977
Growth 2yr High Est,-0.2773778894061913
Growth 2yr Consensus Est,-0.4276986065388445
Growth 5yr Low Est,-0.43045899773588564
Growth 5yr High Est,-0.21167202750000605
Growth 5yr Consensus Est,-0.32106551261794586
Growth 5yr Actual/Est,-0.2683481436142493
Growth 3yr Historic,-0.08327630453378956
