,WIX
Price/Earnings (TTM),
Price/Sales (TTM),3.63306
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,50.9
5yr High,362.07
5yr Avg Return,0.20091666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.34346649999999995
Dividend Growth 5yr,
Short Int Current Month,3823247.0
Short Int Prev Month,4277041.0
Short Int Pct of Float,0.0690683
Days to Cover,3.29194
Float,55.35571
Shares Outstanding,57.25419
Institutions Holding Shares,454.0
% Held by Institutions,0.8532959999999999
FCF Growth 5yr,-0.4232709808480087
