,NYT
% Above Low,0.2713
% Held by Institutions,0.938
52-Wk Range,['27.59 - 48.61']
Annual Dividend $,0.36
Annual Dividend %,0.0103
Ask,38.23
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.12
Bid Size,100.0
Closing Price,35.07
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",1.03
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.397
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,5.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",34.02
Prev Close,35.07
Shares Outstanding,165.4M
Short Interest,0.032799999999999996
Today's Open,
Volume,300097.0
Volume 10-day Avg,903182.0
Volume Past Day,(Light)
