,NYT
Price/Earnings (TTM),34.01816
Price/Sales (TTM),2.5956
Price/Book (MRQ),3.77649
Price/Cash Flow (TTM),23.37955
5yr Low,17.5
5yr High,58.73
5yr Avg Return,0.15225000000000002
EPS Growth 5yr,0.4664067
Revenue Growth 5yr,0.059334899999999996
Dividend Growth 5yr,0.0696104
Short Int Current Month,5294151.0
Short Int Prev Month,6454685.0
Short Int Pct of Float,0.0327506
Days to Cover,2.74456
Float,161.6989
Shares Outstanding,165.4181
Institutions Holding Shares,420.0
% Held by Institutions,0.937963
FCF Growth 5yr,-7.667476041491622
