,POOL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.23102310231023093
Growth 1yr High Est,0.2379084967320262
Growth 1yr Consensus Est,0.23446579952112856
Growth 2yr Low Est,0.05250887018996808
Growth 2yr High Est,0.13373777529315134
Growth 2yr Consensus Est,0.09312332274155971
Growth 5yr Low Est,0.3764921530030665
Growth 5yr High Est,0.41452513764657567
Growth 5yr Consensus Est,0.3955086453248211
Growth 5yr Actual/Est,0.31877631846932747
Growth 3yr Historic,0.2925661452628696
