,POOL
Price/Earnings (TTM),16.73474
Price/Sales (TTM),2.09836
Price/Book (MRQ),10.7835
Price/Cash Flow (TTM),15.62983
5yr Low,121.72
5yr High,582.27
5yr Avg Return,0.24963333333333335
EPS Growth 5yr,0.3591527
Revenue Growth 5yr,0.15549749999999998
Dividend Growth 5yr,0.20152789999999998
Short Int Current Month,3800735.0
Short Int Prev Month,3796222.0
Short Int Pct of Float,0.1004391
Days to Cover,7.0266
Float,37.84119
Shares Outstanding,39.05062
Institutions Holding Shares,931.0
% Held by Institutions,0.997129
FCF Growth 5yr,9.056478145510404
