,POOL
% Above Low,0.16390000000000002
% Held by Institutions,0.9971
52-Wk Range,['278.10 - 572.76']
Annual Dividend $,4.0
Annual Dividend %,0.012199999999999999
Ask,324.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,323.51
Bid Size,100.0
Day Change $,-5.14
Day Change %,-0.015600000000000001
Day High,329.02
Day Low,323.27
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",19.65
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.42600000000000005
Last (size),100.0
Last (time),11:15a ET 11/28/22
Market Cap,12.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.73
Prev Close,328.82
Price,323.68
Shares Outstanding,39.1M
Short Interest,0.10039999999999999
Today's Open,326.13
Volume Past Day,(Light)
