,IBKR
% Below High,0.0621
% Held by Institutions,0.8881
52-Wk Range,['52.18 - 82.83']
Annual Dividend $,0.4
Annual Dividend %,0.0051
Ask,78.06
Ask Size,7700.0
B/A Ratio,0.012987012987012988
B/A Size,100x7700
Beta,0.7
Bid,77.32
Bid Size,100.0
Closing Price,77.69
Day Change $,-0.47
Day Change %,-0.006
Day High,78.56
Day Low,77.23
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",3.1
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.358
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,8.0B
"P/E Ratio (TTM, GAAP)",25.06
Prev Close,78.16
Shares Outstanding,102.9M
Short Interest,0.020099999999999996
Today's Open,78.47
Volume,343185.0
Volume 10-day Avg,1149984.0
Volume Past Day,(Light)
