,IBKR
Price/Earnings (TTM),25.06266
Price/Sales (TTM),10.19672
Price/Book (MRQ),2.9853
Price/Cash Flow (TTM),20.48886
5yr Low,33.7
5yr High,82.83
5yr Avg Return,0.06971666666666666
EPS Growth 5yr,0.2103273
Revenue Growth 5yr,0.1477623
Dividend Growth 5yr,0.0
Short Int Current Month,2010501.0
Short Int Prev Month,3270801.0
Short Int Pct of Float,0.0200996
Days to Cover,1.63878
Float,393.35
Shares Outstanding,422.7526
Institutions Holding Shares,436.0
% Held by Institutions,0.8880870000000001
FCF Growth 5yr,0.21422478618889748
