,PNM
Price/Earnings (TTM),25.44938
Price/Sales (TTM),1.98562
Price/Book (MRQ),1.90079
Price/Cash Flow (TTM),8.24678
5yr Low,27.08
5yr High,56.14
5yr Avg Return,0.017483333333333337
EPS Growth 5yr,0.0929488
Revenue Growth 5yr,0.054828299999999996
Dividend Growth 5yr,0.08282360000000001
Short Int Current Month,2532717.0
Short Int Prev Month,2609193.0
Short Int Pct of Float,0.029908100000000003
Days to Cover,4.06103
Float,84.68324
Shares Outstanding,85.83487
Institutions Holding Shares,348.0
% Held by Institutions,0.8907470000000001
FCF Growth 5yr,0.3614236892556473
