,PNM
% Below High,0.022099999999999998
% Held by Institutions,0.8906999999999999
52-Wk Range,['43.43 - 49.70']
Annual Dividend $,1.39
Annual Dividend %,0.0285
Ask,48.6
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,0.4
Bid,48.59
Bid Size,100.0
Day Change $,-0.16
Day Change %,-0.0033
Day High,48.73
Day Low,48.46
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.138
Last (size),100.0
Last (time),11:09a ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.45
Prev Close,48.76
Price,48.6
Shares Outstanding,85.8M
Short Interest,0.029900000000000003
Today's Open,48.61
Volume Past Day,(Light)
