,PNM
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.047008547008547064
Growth 1yr High Est,0.06827309236947787
Growth 1yr Consensus Est,0.05764081968901247
Growth 2yr Low Est,0.02962672248386533
Growth 2yr High Est,0.037895944680979565
Growth 2yr Consensus Est,0.03376133358242245
Growth 5yr Low Est,0.04800804923645813
Growth 5yr High Est,0.05578545637624971
Growth 5yr Consensus Est,0.05189675280635392
Growth 5yr Actual/Est,0.04971070694754903
Growth 3yr Historic,0.03252923976608185
