,EYE
% Below High,0.1979
% Held by Institutions,1.2348000000000001
52-Wk Range,['22.59 - 49.87']
Annual Dividend $,
Annual Dividend %,
Ask,41.56
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,16.08
Bid Size,200.0
Closing Price,40.0
Day Change $,-0.46
Day Change %,-0.011399999999999999
Day High,40.68
Day Low,38.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.71
Ex-dividend Date,No dividend
Historical Volatility,0.554
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",56.07
Prev Close,40.46
Shares Outstanding,78.9M
Short Interest,0.0843
Today's Open,40.35
Volume,143979.0
Volume 10-day Avg,728274.0
Volume Past Day,(Light)
