,EYE
Price/Earnings (TTM),56.06795
Price/Sales (TTM),1.56703
Price/Book (MRQ),3.48033
Price/Cash Flow (TTM),20.06674
5yr Low,11.7
5yr High,65.92
5yr Avg Return,0.06659999999999999
EPS Growth 5yr,0.43666580000000005
Revenue Growth 5yr,0.1169467
Dividend Growth 5yr,
Short Int Current Month,6525416.0
Short Int Prev Month,7745138.0
Short Int Pct of Float,0.0842511
Days to Cover,6.49522
Float,77.4593
Shares Outstanding,78.91246
Institutions Holding Shares,270.0
% Held by Institutions,1.234788
FCF Growth 5yr,-0.031590885739036935
