,PUMP
% Above Low,0.46549999999999997
% Held by Institutions,0.8844
52-Wk Range,['7.25 - 16.93']
Annual Dividend $,
Annual Dividend %,
Ask,10.63
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,2.4
Bid,10.62
Bid Size,800.0
Day Change $,-0.305
Day Change %,-0.0279
Day High,10.76
Day Low,10.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.3
Ex-dividend Date,No dividend
Historical Volatility,0.633
Last (size),100.0
Last (time),11:54a ET 11/28/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,10.93
Price,10.63
Shares Outstanding,114.6M
Short Interest,0.0355
Today's Open,10.51
Volume Past Day,(Light)
