,PUMP
Price/Earnings (TTM),
Price/Sales (TTM),1.06392
Price/Book (MRQ),1.37427
Price/Cash Flow (TTM),13.09498
5yr Low,1.36
5yr High,25.38
5yr Avg Return,-0.058783333333333326
EPS Growth 5yr,
Revenue Growth 5yr,0.1488754
Dividend Growth 5yr,
Short Int Current Month,3086877.0
Short Int Prev Month,3444102.0
Short Int Pct of Float,0.035539100000000004
Days to Cover,2.30439
Float,96.89048
Shares Outstanding,114.5541
Institutions Holding Shares,284.0
% Held by Institutions,0.884421
FCF Growth 5yr,-1.231259019463855
